observation_date,B230RC0A052NBEA
1960-01-01,180760
1961-01-01,183742
1962-01-01,186590
1963-01-01,189300
1964-01-01,191927
1965-01-01,194347
1966-01-01,196599
1967-01-01,198752
1968-01-01,200745
1969-01-01,202736
1970-01-01,205089
1971-01-01,207692
1972-01-01,209924
1973-01-01,211939
1974-01-01,213898
1975-01-01,215981
1976-01-01,218086
1977-01-01,220289
1978-01-01,222629
1979-01-01,225106
1980-01-01,227726
1981-01-01,230008
1982-01-01,232218
1983-01-01,234333
1984-01-01,236394
1985-01-01,238506
1986-01-01,240683
1987-01-01,242843
1988-01-01,245061
1989-01-01,247387
1990-01-01,250181
1991-01-01,253530
1992-01-01,256922
1993-01-01,260282
1994-01-01,263455
1995-01-01,266588
1996-01-01,269714
1997-01-01,272958
1998-01-01,276154
1999-01-01,279328
2000-01-01,282398
2001-01-01,285225
2002-01-01,287955
2003-01-01,290626
2004-01-01,293262
2005-01-01,295993
2006-01-01,298818
2007-01-01,301696
2008-01-01,304543
2009-01-01,307240
2010-01-01,309839
2011-01-01,312295
2012-01-01,314725
2013-01-01,317099
2014-01-01,319601
2015-01-01,322113
