observation_date,POPTOTESA647NWDB
1960-01-01,30455000
1961-01-01,30739250
1962-01-01,31023366
1963-01-01,31296651
1964-01-01,31609195
1965-01-01,31954292
1966-01-01,32283194
1967-01-01,32682947
1968-01-01,33113134
1969-01-01,33441054
1970-01-01,33814531
1971-01-01,34224490
1972-01-01,34604469
1973-01-01,34988947
1974-01-01,35373335
1975-01-01,35757900
1976-01-01,36137812
1977-01-01,36511638
1978-01-01,36864898
1979-01-01,37191330
1980-01-01,37491165
1981-01-01,37758631
1982-01-01,37986012
1983-01-01,38171525
1984-01-01,38330364
1985-01-01,38469512
1986-01-01,38584624
1987-01-01,38684815
1988-01-01,38766939
1989-01-01,38827764
1990-01-01,38867322
1991-01-01,38966376
1992-01-01,39157685
1993-01-01,39361262
1994-01-01,39549108
1995-01-01,39724050
1996-01-01,39889852
1997-01-01,40057389
1998-01-01,40223509
1999-01-01,40386875
2000-01-01,40567864
2001-01-01,40850412
2002-01-01,41431558
2003-01-01,42187645
2004-01-01,42921895
2005-01-01,43653155
2006-01-01,44397319
2007-01-01,45226803
2008-01-01,45954106
2009-01-01,46362946
2010-01-01,46576897
2011-01-01,46742697
2012-01-01,46773055
2013-01-01,46604197
2014-01-01,46460733
2015-01-01,46422303
