observation_date,RGDPNAINA666NRUG
1960-01-01,447577.28125
1961-01-01,463627.18750
1962-01-01,479086.37500
1963-01-01,510559.40625
1964-01-01,548507.43750
1965-01-01,536750.00000
1966-01-01,534683.31250
1967-01-01,577124.18750
1968-01-01,606516.37500
1969-01-01,674447.25000
1970-01-01,684888.81250
1971-01-01,696140.93750
1972-01-01,692289.25000
1973-01-01,715103.81250
1974-01-01,723580.12500
1975-01-01,789787.12500
1976-01-01,802922.06250
1977-01-01,861172.18750
1978-01-01,910366.87500
1979-01-01,862680.25000
1980-01-01,920788.81250
1981-01-01,976093.25000
1982-01-01,1010019.68750
1983-01-01,1083638.87500
1984-01-01,1125042.00000
1985-01-01,1184155.00000
1986-01-01,1240717.00000
1987-01-01,1289915.75000
1988-01-01,1414106.12500
1989-01-01,1498207.75000
1990-01-01,1581110.37500
1991-01-01,1597820.12500
1992-01-01,1685419.00000
1993-01-01,1765489.37500
1994-01-01,1883052.00000
1995-01-01,2025683.75000
1996-01-01,2178613.00000
1997-01-01,2266842.75000
1998-01-01,2407034.00000
1999-01-01,2619954.25000
2000-01-01,2720586.50000
2001-01-01,2851826.75000
2002-01-01,2960309.50000
2003-01-01,3193001.25000
2004-01-01,3445980.75000
2005-01-01,3719020.50000
2006-01-01,4018801.00000
2007-01-01,4326674.00000
2008-01-01,4460225.50000
2009-01-01,4810883.00000
2010-01-01,5219692.00000
2011-01-01,5493272.50000
2012-01-01,5793006.00000
2013-01-01,6162954.00000
2014-01-01,6619643.50000
2015-01-01,7148966.50000
